name,online_order,book_table,rate,votes,location,rest_type,cuisines,approx_cost(for two people)
Jalsa,Yes,Yes,4.1/5,775,Banashankari,Casual Dining,"North Indian, Mughlai, Chinese",₹ 800.00
Spice Elephant,Yes,No,4.1/5,787,Banashankari,Casual Dining,"Chinese, North Indian, Thai",₹ 800.00
San Churro Cafe,Yes,No,3.8/5,918,Banashankari,"Cafe, Casual Dining","Cafe, Mexican, Italian",₹ 800.00
Addhuri Udupi Bhojana,No,No,3.7/5,88,Banashankari,Quick Bites,"South Indian, North Indian",₹ 300.00
Grand Village,No,No,3.8/5,166,Basavanagudi,Casual Dining,"North Indian, Rajasthani",₹ 600.00
Timepass Dinner,Yes,No,3.8/5,286,Basavanagudi,Casual Dining,North Indian,₹ 600.00
Rosewood International Hotel - Bar & Restaurant,No,No,3.6/5,8,Mysore Road,Casual Dining,"North Indian, South Indian, Andhra, Chinese",₹ 800.00
Onesta,Yes,Yes,4.6/5,2556,Banashankari,"Casual Dining, Cafe","Pizza, Cafe, Italian",₹ 600.00
Penthouse Cafe,Yes,No,4.0/5,324,Banashankari,Cafe,"Cafe, Italian, Continental",₹ 700.00
Smacznego,Yes,No,4.2/5,504,Banashankari,Cafe,"Cafe, Mexican, Italian, Momos, Beverages",₹ 550.00
Cafe Shuffle,Yes,Yes,4.2/5,150,Banashankari,Cafe,"Cafe, Italian, Continental",₹ 600.00
The Coffee Shack,Yes,Yes,4.2/5,164,Banashankari,Cafe,"Cafe, Chinese, Continental, Italian",₹ 500.00
Caf-Eleven,No,No,4.0/5,424,Banashankari,Cafe,"Cafe, Continental",₹ 450.00
San Churro Cafe,Yes,No,3.8/5,918,Banashankari,"Cafe, Casual Dining","Cafe, Mexican, Italian",₹ 800.00
Cafe Vivacity,Yes,No,3.8/5,90,Banashankari,Cafe,Cafe,₹ 650.00
Catch-up-ino,Yes,No,3.9/5,133,Banashankari,Cafe,"Cafe, Fast Food, Continental, Chinese, Momos",₹ 800.00
Kirthi's Biryani,Yes,No,3.8/5,144,Banashankari,Cafe,"Chinese, Cafe, Italian",₹ 700.00
T3H Cafe,No,No,3.9/5,93,Banashankari,Cafe,"Cafe, Italian, American",₹ 300.00
360 Atoms Restaurant And Cafe,Yes,No,3.1/5,13,Banashankari,Cafe,"Cafe, Chinese, Continental, Italian",₹ 400.00
The Vintage Cafe,Yes,No,3.0/5,62,Banashankari,Cafe,"Cafe, French, North Indian",₹ 400.00
Woodee Pizza,Yes,No,3.7/5,180,Banashankari,Cafe,"Cafe, Pizza, Fast Food, Beverages",₹ 500.00
Cafe Coffee Day,No,No,3.6/5,28,Banashankari,Cafe,"Cafe, Fast Food",₹ 900.00
My Tea House,Yes,No,3.6/5,62,Banashankari,"Quick Bites, Cafe","Italian, Fast Food, Cafe, European",₹ 600.00
Hide Out Cafe,No,No,3.7/5,31,Banashankari,Cafe,Cafe,₹ 300.00
CAFE NOVA,No,No,3.2/5,11,Banashankari,Cafe,"Cafe, Bakery",₹ 600.00
Coffee Tindi,Yes,No,3.8/5,75,Banashankari,"Cafe, Quick Bites","Cafe, South Indian",₹ 200.00
Sea Green Cafe,No,No,3.3/5,4,Banashankari,Cafe,"Cafe, Fast Food, Beverages",₹ 500.00
Cuppa,No,No,3.3/5,23,Banashankari,Cafe,"Cafe, Fast Food",₹ 550.00
Srinathji's Cafe,No,No,3.8/5,148,Basavanagudi,"Casual Dining, Cafe","North Indian, Cafe, Chinese, Fast Food",₹ 550.00
Redberrys,Yes,No,4.0/5,219,Basavanagudi,Cafe,"Cafe, Italian",₹ 600.00
Foodiction,Yes,No,2.8/5,506,Banashankari,Quick Bites,"North Indian, Fast Food, Chinese, Burger",₹ 500.00
Sweet Truth,Yes,No,3.9/5,35,Banashankari,Delivery,"Bakery, Desserts",₹ 500.00
Ovenstory Pizza,Yes,No,3.9/5,172,Banashankari,Delivery,Pizza,₹ 750.00
Faasos,Yes,No,4.2/5,415,Banashankari,Quick Bites,"North Indian, Biryani, Fast Food",₹ 500.00
Behrouz Biryani,Yes,No,3.9/5,230,Banashankari,Delivery,Biryani,₹ 650.00
Fast And Fresh,Yes,No,2.8/5,91,Banashankari,Quick Bites,"North Indian, Chinese, Fast Food",₹ 400.00
Szechuan Dragon,Yes,No,4.2/5,1647,Banashankari,Casual Dining,"Chinese, Thai, Momos",₹ 600.00
Empire Restaurant,Yes,No,4.4/5,4884,Jayanagar,Casual Dining,"North Indian, Mughlai, South Indian, Chinese",₹ 750.00
Maruthi Davangere Benne Dosa,Yes,No,4.0/5,17,Banashankari,Quick Bites,South Indian,₹ 150.00
Chaatimes,Yes,No,3.8/5,133,Basavanagudi,Quick Bites,"Street Food, Fast Food",₹ 200.00
Havyaka Mess,No,No,3.9/5,28,Banashankari,Mess,South Indian,₹ 300.00
McDonald's,Yes,No,3.9/5,286,Banashankari,Quick Bites,"Burger, Fast Food",₹ 500.00
Domino's Pizza,Yes,No,3.9/5,540,Banashankari,Quick Bites,"Pizza, Fast Food",₹ 800.00
Onesta,Yes,Yes,4.6/5,2556,Banashankari,"Casual Dining, Cafe","Pizza, Cafe, Italian",₹ 600.00
Hotboxit,No,No,3.8/5,36,Banashankari,Delivery,"North Indian, Continental, Italian",₹ 400.00
Kitchen Garden,Yes,No,3.6/5,244,Kumaraswamy Layout,Quick Bites,"North Indian, Chinese",₹ 300.00
Recipe,Yes,No,4.0/5,804,Kumaraswamy Layout,Casual Dining,"North Indian, Chinese, Biryani, Rolls",₹ 450.00
Beijing Bites,Yes,No,3.7/5,679,Rajarajeshwari Nagar,Casual Dining,"Chinese, Thai",₹ 850.00
Tasty Bytes,Yes,No,3.1/5,245,Kumaraswamy Layout,Quick Bites,"North Indian, Chinese, Momos, Rolls",₹ 300.00
Petoo,No,No,3.7/5,21,Banashankari,Quick Bites,North Indian,₹ 450.00
Shree Cool Point,Yes,No,4.1/5,28,Vijay Nagar,Quick Bites,"Fast Food, Street Food, Beverages",₹ 150.00
Corner House Ice Cream,No,No,4.3/5,345,Banashankari,Dessert Parlor,"Ice Cream, Desserts",₹ 400.00
Biryanis And More,Yes,No,4.0/5,618,Jayanagar,Casual Dining,"Biryani, North Indian, Chinese, Andhra, South Indian",₹ 750.00
Roving Feast,No,No,4.0/5,1047,Banashankari,Quick Bites,"Italian, Continental, Fast Food, Chinese, Momos",₹ 450.00
FreshMenu,Yes,No,3.9/5,627,Banashankari,Delivery,"Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger",₹ 450.00
Banashankari Donne Biriyani,Yes,No,3.8/5,104,Banashankari,Quick Bites,"Biryani, Fast Food",₹ 300.00
Wamama,Yes,Yes,4.2/5,354,Banashankari,Casual Dining,"Asian, Korean, Indonesian, Japanese, Chinese, Thai, Momos",₹ 800.00
Five Star Chicken,No,No,3.6/5,55,Banashankari,Quick Bites,"Fast Food, Burger",₹ 200.00
XO Belgian Waffle,Yes,No,3.7/5,17,Banashankari,Dessert Parlor,"Desserts, Beverages",₹ 400.00
Peppy Peppers,No,No,4.2/5,244,Banashankari,Casual Dining,"Italian, North Indian, Mexican",₹ 800.00
Goa 0 Km,Yes,Yes,3.6/5,163,Kumaraswamy Layout,Casual Dining,"Goan, Seafood, North Indian, Chinese, Biryani",₹ 800.00
Chinese Kitchen,Yes,No,3.8/5,58,Basavanagudi,Quick Bites,Chinese,₹ 150.00
1947,No,Yes,4.0/5,808,Banashankari,Casual Dining,"North Indian, Chinese",₹ 850.00
Cake of the Day,No,No,3.7/5,78,Banashankari,"Bakery, Dessert Parlor",Bakery,₹ 150.00
Kabab Magic,Yes,No,4.1/5,1720,Basavanagudi,Quick Bites,"North Indian, Kebab, Chinese, Fast Food",₹ 400.00
Namma Brahmin's Idli,Yes,No,3.6/5,34,Jayanagar,Quick Bites,South Indian,₹ 100.00
Gustoes Beer House,No,No,4.1/5,868,Banashankari,Pub,"Continental, Italian, Mexican, North Indian, Chinese, Steak","₹ 1,200.00"
Sugar Rush,No,No,3.8/5,39,Banashankari,Bakery,"Bakery, Desserts",₹ 300.00
Burger King,Yes,No,3.2/5,71,Basavanagudi,Quick Bites,"Burger, Fast Food, Beverages",₹ 600.00
The Good Bowl,Yes,No,3.6/5,6,Banashankari,"Takeaway, Delivery","Italian, North Indian, Biryani",₹ 500.00
The Biryani Cafe,No,No,4.1/5,520,Banashankari,Quick Bites,"Biryani, Chinese, Kebab",₹ 300.00
Spicy Tandoor,No,No,NEW,0,Banashankari,Quick Bites,North Indian,₹ 150.00
LSD Cafe,No,No,2.9/5,84,Banashankari,Delivery,"Chinese, Continental, Italian, North Indian",₹ 700.00
Rolls On Wheels,No,No,3.6/5,299,Banashankari,Quick Bites,"Fast Food, Rolls, Momos",₹ 300.00
Om Sri Vinayaka Chats,No,No,NEW,0,Banashankari,"Takeaway, Delivery","Street Food, Fast Food",₹ 500.00
Sri Guru Kottureshwara Davangere Benne Dosa,Yes,No,4.1/5,558,Basavanagudi,Quick Bites,South Indian,₹ 150.00
Devanna Dum Biriyani Centre,Yes,No,3.6/5,28,Banashankari,Quick Bites,"Biryani, South Indian",₹ 300.00
Kolbeh,No,No,3.7/5,22,Banashankari,Quick Bites,Fast Food,₹ 500.00
Upahar Sagar,No,No,3.8/5,39,Banashankari,Quick Bites,"South Indian, Chinese, North Indian",₹ 350.00
Kadalu Sea Food Restaurant,Yes,No,3.8/5,153,Vijay Nagar,Fine Dining,"Seafood, North Indian, Chinese, Andhra, Biryani, Kebab",₹ 500.00
Frozen Bottle,Yes,No,4.2/5,146,Banashankari,Beverage Shop,"Beverages, Desserts, Ice Cream",₹ 400.00
Parimala Sweets,No,No,3.5/5,14,Banashankari,Sweet Shop,"Mithai, Street Food",₹ 200.00
Vaishali Deluxe,No,No,3.8/5,42,Banashankari,Casual Dining,"North Indian, Chinese",₹ 700.00
Chill Out,No,No,4.0/5,0,Banashankari,Quick Bites,"South Indian, Chinese",₹ 100.00
The Big O Bakes,No,No,4.4/5,66,Banashankari,Bakery,"Bakery, Desserts",₹ 300.00
Meghana Foods,Yes,No,3.5/5,4401,Jayanagar,Casual Dining,"Biryani, North Indian, Chinese",₹ 600.00
Krishna Sagar,No,No,3.5/5,31,Banashankari,Quick Bites,North Indian,₹ 200.00
Dessert Rose,No,No,3.7/5,7,Banashankari,Dessert Parlor,Desserts,₹ 500.00
Chickpet Donne Biryani House,No,No,3.2/5,21,Banashankari,Quick Bites,Biryani,₹ 250.00
Thanco's Natural Ice Creams,No,No,2.6/5,9,Banashankari,Dessert Parlor,Ice Cream,₹ 300.00
Nandhini Deluxe,No,No,3.3/5,283,Banashankari,Casual Dining,North Indian,₹ 600.00
Vi Ra's Bar and Restaurant,No,No,3.8/5,62,Banashankari,Bar,"South Indian, North Indian, Chinese",₹ 800.00
Kaggis,No,No,3.7/5,64,Banashankari,Quick Bites,"Fast Food, Bakery",₹ 250.00
Ayda Persian Kitchen,No,No,3.7/5,39,Banashankari,Casual Dining,"North Indian, Iranian",₹ 950.00
Chatar Patar,No,No,3.8/5,65,Banashankari,Quick Bites,"Fast Food, Street Food",₹ 300.00
Polar Bear,Yes,No,3.5/5,71,Basavanagudi,Dessert Parlor,"Ice Cream, Desserts, Beverages, Sandwich",₹ 400.00
Kidambi's Kitchen,No,No,3.7/5,52,Banashankari,Quick Bites,South Indian,₹ 300.00
Mane Thindi,No,No,3.5/5,130,Banashankari,Quick Bites,South Indian,₹ 200.00
Kotian Karavali Restaurant,No,No,3.8 /5,10,Banashankari,Quick Bites,"South Indian, Biryani",₹ 300.00
Floured-Baked With Love,No,No,3.2/5,45,Banashankari,"Takeaway, Delivery",Bakery,₹ 400.00
@Italy,Yes,No,3.6/5,305,Kumaraswamy Layout,Casual Dining,Italian,₹ 700.00
Chilli Flakes,Yes,No,3.5/5,46,Banashankari,Quick Bites,"Fast Food, Italian, Beverages",₹ 500.00
Calcutta Cafe,Yes,No,3.9/5,45,Kumaraswamy Layout,Quick Bites,"Bengali, Chinese, Sandwich",₹ 350.00
Old Mumbai Ice Cream,Yes,No,3.9/5,38,Banashankari,Dessert Parlor,Ice Cream,₹ 150.00
Donne Biriyani House,Yes,No,3.9/5,441,Banashankari,Quick Bites,"South Indian, North Indian, Chinese, Biryani",₹ 400.00
By 2 Coffee,Yes,No,4.3/5,25,Basavanagudi,Quick Bites,South Indian,₹ 100.00
Kedia's Fun Food,Yes,No,3.8/5,630,Jayanagar,Quick Bites,"North Indian, Street Food, Juices",₹ 200.00
Davangere Butter Dosa Hotel,Yes,No,3.9/5,25,Kumaraswamy Layout,Quick Bites,South Indian,₹ 150.00
Just Shawarma,Yes,No,4.2/5,160,Kumaraswamy Layout,Quick Bites,Arabian,₹ 300.00
Mini Punjabi Dhaba,Yes,No,3.6/5,287,Banashankari,Quick Bites,North Indian,₹ 350.00
Mulabagilu Dosa,Yes,No,3.3/5,11,Basavanagudi,Quick Bites,South Indian,₹ 100.00
Gokul Veg,Yes,No,3.9/5,469,Basavanagudi,Casual Dining,"North Indian, Chinese, Beverages",₹ 750.00
Olive - Era,Yes,No,3.4/5,511,Kumaraswamy Layout,Casual Dining,"BBQ, Arabian, Rolls, Chinese, North Indian, Juices, Kebab, Desserts",₹ 550.00
Udupi Ruchi,Yes,No,3.9/5,57,Banashankari,Quick Bites,"South Indian, North Indian, Chinese, Street Food",₹ 200.00
Madhappa Hindu Military Hotel,Yes,No,3.0/5,14,Banashankari,Quick Bites,South Indian,₹ 300.00
Gama Gama,Yes,No,3.8/5,264,Banashankari,Quick Bites,South Indian,₹ 200.00
The Vintage Cafe,Yes,No,3.8/5,62,Banashankari,Cafe,"Cafe, French, North Indian",₹ 400.00
Pizza Hut,Yes,No,3.6/5,693,Banashankari,Casual Dining,"Pizza, Fast Food",₹ 750.00
Mangalore Pearl,Yes,No,4.1/5,242,Jayanagar,Casual Dining,"Mangalorean, Seafood, Chinese, Biryani",₹ 650.00
Asha Sweets Centre,Yes,No,4.2/5,27,Basavanagudi,Dessert Parlor,Fast Food,₹ 250.00
Twiststick House,Yes,No,3.5/5,163,Basavanagudi,Quick Bites,"Continental, Fast Food, Street Food, Momos",₹ 500.00
Cool Corner,Yes,No,2.5/5,191,Basavanagudi,Quick Bites,"Street Food, Fast Food",₹ 250.00
Pizza Mane,Yes,No,4.1/5,32,Banashankari,Quick Bites,"Pizza, Sandwich, Burger, Fast Food",₹ 150.00
Dal Tadkaa,Yes,No,3.9/5,247,Banashankari,Casual Dining,North Indian,₹ 500.00
Chutney Chang,Yes,Yes,3.6/5,2339,Jayanagar,Casual Dining,"North Indian, Chinese, BBQ","₹ 1,500.00"
Mystique Palate,Yes,No,3.6/5,337,Jayanagar,Quick Bites,"Chinese, Fast Food",₹ 300.00
Thamboola,Yes,No,4.2/5,135,Banashankari,Casual Dining,"North Indian, Chinese, Continental",₹ 800.00
Castle Rock,Yes,No,3.2/5,172,Uttarahalli,Casual Dining,"North Indian, Chinese",₹ 700.00
Vietnamese Kitchen,Yes,No,3.1/5,105,Banashankari,Casual Dining,Vietnamese,₹ 700.00
Smacznego,Yes,No,3.1/5,504,Banashankari,Cafe,"Cafe, Mexican, Italian, Momos, Beverages",₹ 550.00
C Corner,Yes,No,4.3/5,36,Kumaraswamy Layout,Quick Bites,"Fast Food, Street Food",₹ 200.00
Paratha Merchant,Yes,No,3.9/5,39,Kumaraswamy Layout,Quick Bites,North Indian,₹ 300.00
North Rasoe,Yes,No,4.3/5,5,Kumaraswamy Layout,Casual Dining,"North Indian, Chinese, Biryani, Kebab",₹ 500.00
Inchara Restaurant,Yes,No,3.8/5,0,Basavanagudi,Quick Bites,"North Indian, Chinese",₹ 300.00
Toscano,Yes,Yes,3.9/5,1129,Jayanagar,Casual Dining,"Italian, Salad","₹ 1,300.00"
Lord Of The Kitchen,Yes,No,3.0/5,56,Kumaraswamy Layout,Quick Bites,"North Indian, Chinese",₹ 350.00
Stoned Monkey,Yes,No,3.6/5,860,Banashankari,Dessert Parlor,"Desserts, Ice Cream",₹ 500.00
Central Jail Restaurant,Yes,No,2.8/5,412,Jayanagar,Casual Dining,"Andhra, Seafood, North Indian, Chinese",₹ 700.00
Bella,Yes,Yes,3.6/5,142,Jayanagar,Casual Dining,"Mangalorean, Seafood, South Indian","₹ 1,000.00"
Vennela Andhra Meals,Yes,No,4.4/5,23,Jayanagar,Quick Bites,Andhra,₹ 400.00
New Prashanth Hotel,Yes,No,3.8/5,143,Jayanagar,Casual Dining,"South Indian, Biryani, Chinese, North Indian",₹ 750.00
The Grillo,Yes,Yes,3.8/5,80,Jayanagar,Casual Dining,"South Indian, Arabian, Chinese, North Indian, Seafood, Mangalorean",₹ 500.00
Re Malnad Nati Style Hotel,Yes,No,3.6/5,16,JP Nagar,Casual Dining,South Indian,₹ 400.00
Karma Kaapi,Yes,No,3.8/5,181,Jayanagar,Beverage Shop,"Beverages, Tea",₹ 250.00
Tiwari's,Yes,No,3.9/5,70,Jayanagar,Quick Bites,"North Indian, Street Food",₹ 200.00
Pizza Stop,Yes,No,3.6/5,164,Basavanagudi,Quick Bites,"Pizza, Italian",₹ 600.00
Biggies Burger 'n' More,Yes,No,3.7/5,58,Kumaraswamy Layout,Quick Bites,"Cafe, Burger, Beverages",₹ 650.00
Srinathji's Cafe,No,No,3.6/5,148,Basavanagudi,"Casual Dining, Cafe","North Indian, Cafe, Chinese, Fast Food",₹ 550.00
Kollapuri's,No,No,3.8/5,206,Basavanagudi,Quick Bites,"South Indian, Mangalorean",₹ 450.00
Sugar Stars Co,No,No,3.4/5,0,Basavanagudi,Bakery,"Bakery, Desserts",₹ 300.00
Bombay Kulfis,No,No,3.6/5,0,JP Nagar,Dessert Parlor,Ice Cream,₹ 200.00
Kadamba Classic,No,No,3.3/5,16,Mysore Road,Quick Bites,South Indian,₹ 300.00
RS Shiv Sagar,No,No,3.5/5,217,Basavanagudi,Casual Dining,"North Indian, Chinese, South Indian, Fast Food, Juices",₹ 450.00
Kholi Mane,No,No,3.4/5,46,Basavanagudi,Quick Bites,"Andhra, South Indian, Biryani, North Indian",₹ 450.00
Harshi Super Sandwich,No,No,3.7/5,148,Basavanagudi,Quick Bites,"Fast Food, Street Food",₹ 150.00
Cake Yard,No,No,2.9/5,30,Basavanagudi,Dessert Parlor,Desserts,₹ 250.00
Rosewood International Hotel - Bar & Restaurant,No,No,3.5/5,8,Mysore Road,Casual Dining,"North Indian, South Indian, Andhra, Chinese",₹ 800.00
Sri Udupi Veg,No,No,3.7/5,4,Jayanagar,Quick Bites,South Indian,₹ 250.00
Cake Art,No,No,2.9/5,15,Basavanagudi,"Bakery, Quick Bites",Bakery,₹ 400.00
Aahar Cafe,No,No,4.1/5,0,Basavanagudi,Quick Bites,South Indian,₹ 100.00
Akash Gowdru Biryani Center,No,No,3.2/5,0,Uttarahalli,Quick Bites,"North Indian, Chinese",₹ 300.00
New Sri Udupi Restaurant,No,No,3.8/5,0,Jayanagar,Quick Bites,"North Indian, South Indian, Chinese, Beverages, Fast Food",₹ 200.00
Potato House,Yes,No,3.8/5,9,Uttarahalli,Quick Bites,Street Food,₹ 200.00
Hotel Biriyani Counter,No,No,3.8/5,0,Vijay Nagar,Quick Bites,"North Indian, Chinese, Biryani",₹ 350.00
Matru Sagar,Yes,No,3.8/5,31,Mysore Road,Quick Bites,"South Indian, North Indian",₹ 300.00
Ugadi,Yes,No,3.8/5,177,Jayanagar,Casual Dining,"North Indian, Chinese, Biryani, Andhra, Mangalorean",₹ 700.00
Sri Krishna Sweets,Yes,No,3.5/5,22,Basavanagudi,Sweet Shop,"Mithai, Desserts",₹ 250.00
In Time Cane Juice,Yes,No,3.7/5,10,Kumaraswamy Layout,Beverage Shop,"Juices, Beverages",₹ 100.00
Subway,Yes,No,4.0/5,136,Banashankari,Quick Bites,"Salad, Fast Food",₹ 600.00
Daal Roti,Yes,No,3.6/5,35,Kumaraswamy Layout,Quick Bites,"North Indian, Chinese",₹ 250.00
The Lassi Park,Yes,No,3.9/5,185,Jayanagar,Quick Bites,"Juices, Desserts",₹ 200.00
Cafe Coffee Day,Yes,No,2.5/5,17,Jayanagar,Cafe,"Cafe, Fast Food",₹ 900.00
A2B - Adyar Ananda Bhavan,Yes,No,3.4/5,155,Mysore Road,Casual Dining,"South Indian, North Indian, Chinese, Street Food",₹ 400.00
Srikrishna Bhavan,Yes,No,3.2/5,42,Banashankari,Quick Bites,"South Indian, North Indian, Chinese",₹ 300.00
Timepass Dinner,Yes,No,3.6/5,286,Basavanagudi,Casual Dining,North Indian,₹ 600.00
Green Gardenia,Yes,No,3.9/5,160,Banashankari,Casual Dining,"North Indian, Chinese",₹ 700.00
J Spice,Yes,No,3.8/5,59,Banashankari,Casual Dining,"North Indian, Chinese",₹ 750.00
Karavali Family Restaurant,Yes,No,4.1/5,90,Jayanagar,Casual Dining,"Seafood, Biryani, South Indian, North Indian, Chinese",₹ 500.00
Karavali Lunch Home,Yes,No,3.2/5,51,Kumaraswamy Layout,Quick Bites,"South Indian, Mangalorean",₹ 350.00
Hatti Kaapi,Yes,No,3.6/5,89,Jayanagar,Quick Bites,"South Indian, Beverages",₹ 200.00
Kolkata Kathi Roll's,Yes,No,3.7/5,18,Banashankari,Quick Bites,"Fast Food, Rolls",₹ 250.00
Upahara Darshini,Yes,No,3.9/5,40,Basavanagudi,Casual Dining,"North Indian, Chinese, South Indian, Fast Food",₹ 600.00
The Chaat Shop,Yes,No,NEW,35,Basavanagudi,Quick Bites,Fast Food,₹ 200.00
Anda Ka Funda,Yes,No,3.9/5,89,Jayanagar,Quick Bites,"North Indian, Chinese, Rolls",₹ 250.00
Shri Vinayaka Ice N Juice,Yes,No,4.1/5,11,Basavanagudi,Quick Bites,"Beverages, Fast Food",₹ 150.00
My Tea House,Yes,No,3.8/5,62,Banashankari,"Quick Bites, Cafe","Italian, Fast Food, Cafe, European",₹ 600.00
Ibaco,Yes,No,3.1/5,33,Jayanagar,Dessert Parlor,Desserts,₹ 300.00
Jalaram Sweets,Yes,No,3.7/5,32,Jayanagar,Sweet Shop,"Desserts, Mithai",₹ 250.00
Samskruti - Sanman Gardenia,Yes,No,4.2/5,139,Jayanagar,Casual Dining,"North Indian, Chinese, South Indian",₹ 550.00
Bendakaluru Bytes,Yes,No,4.0/5,154,Vijay Nagar,Quick Bites,Fast Food,₹ 300.00
Cocoa Bakes,Yes,No,4.3/5,14,Banashankari,Bakery,"Bakery, Desserts",₹ 350.00
Chumma Delicious,Yes,No,3.7/5,237,Banashankari,Quick Bites,"South Indian, Fast Food",₹ 200.00
New Prashanth Hotel,Yes,No,3.1/5,388,Banashankari,Casual Dining,"Biryani, North Indian, Seafood, Andhra",₹ 650.00
SSV Upahar,Yes,No,3.9/5,0,Jayanagar,Quick Bites,"South Indian, Chinese",₹ 300.00
Dwaraka Grand,Yes,No,3.3/5,128,Kumaraswamy Layout,Casual Dining,"South Indian, Chinese, Street Food, Juices",₹ 500.00
Gufha - The President Hotel,Yes,Yes,4.3/5,1875,Jayanagar,Casual Dining,"North Indian, Afghani, Mughlai","₹ 1,200.00"
Cafe Vivacity,Yes,No,2.6/5,90,Banashankari,Cafe,Cafe,₹ 650.00
Tanna's Kitchen,Yes,No,3.9/5,7,Kumaraswamy Layout,Quick Bites,"Italian, Chinese, Street Food",₹ 250.00
Shree Mandarathi Grand,Yes,No,3.7/5,38,Uttarahalli,Casual Dining,"South Indian, North Indian",₹ 400.00
Mojo Pizza - 2X Toppings,Yes,No,4.2/5,179,Banashankari,Delivery,Pizza,₹ 600.00
Iceberg Icecreams,Yes,No,3.9/5,43,Basavanagudi,Dessert Parlor,"Desserts, Ice Cream",₹ 250.00
South Kitchen,Yes,No,3.8/5,275,Basavanagudi,Quick Bites,South Indian,₹ 100.00
Chung Wah,Yes,No,4.2/5,323,Jayanagar,Casual Dining,"Chinese, Thai, Momos",₹ 850.00
Shanthi Sagar,Yes,No,3.6/5,28,Uttarahalli,Casual Dining,"South Indian, North Indian, Chinese",₹ 400.00
Millet Mama,Yes,No,3.4/5,18,Basavanagudi,Quick Bites,"South Indian, Healthy Food",₹ 200.00
Bangarpet Chat Express,Yes,No,NEW,6,Basavanagudi,Quick Bites,"Street Food, Fast Food",₹ 100.00
